scheme	count
ABAB	1142
ABCB	749
AABB	611
AABCCB	360
ABBA	181
AABBCC	162
AAA	152
ABAAB	73
AABCBC	70
ABABCC	58
ABABAB	58
AABC	55
ABCC	55
ABAC	48
AABBCCDD	36
ABCD	35
ABCABC	32
AAB	31
ABABCDCD	31
ABA	26
ABBAABBA	26
ABCBDD	21
AABBCDCD	18
ABBACC	18
ABCDDC	17
AABCC	15
ABBC	15
AABBCDDC	15
ABBCC	15
ABAACC	15
ABCA	14
AABCDD	14
ABB	14
ABCBDEFE	14
AABBB	13
ABCCB	13
AABCCD	12
ABCCBA	12
AB	11
ABCDCD	11
ABACBC	10
AABBCD	10
ABC	10
AABCB	10
AABCD	10
AABBC	10
AABCDB	9
ABCCAB	9
ABCBDDEE	9
ABCCDD	9
ABCAB	8
ABCDBC	8
AABBA	8
AABCCDD	8
ABABCCDD	8
ABBACDCD	8
ABCBDB	8
ABCBC	8
ABCDC	7
AA	7
ABABCD	7
ABBACCDD	7
ABACB	7
ABCDEFGD	7
ABCBD	7
ABCBAC	7
AABCCBDD	6
AABBCCDDEE	6
ABABC	6
ABBCCDD	6
ABCADD	6
ABCDB	6
ABABCDDC	6
ABCADC	6
ABBCAC	6
ABCACB	6
ABABCBC	6
AAAA	6
AAAB	5
AABCDC	5
AABBCCD	5
ABBACDDC	5
AABCBCDD	5
ABABABAB	5
AABBCCA	5
AABBCCDEED	5
ABABCCDDB	5
ABACDC	4
ABCDEC	4
AABBCCDE	4
ABACC	4
AABCBDDC	4
AABCCBB	4
ABABA	4
AAABB	4
ABBCCA	4
AABBCDD	4
AABCDCEEFF	4
ABCABD	4
ABBCABBA	4
ABBACBBA	4
ABCAACCA	4
AAAABB	4
ABBACCA	4
ABACDED	4
AABCDCD	3
AABCBCDDEE	3
ABBCDCD	3
ABACA	3
ABABCCD	3
ABCDEE	3
AABCDE	3
AABBCCDDEEFF	3
ABBB	3
ABACDCD	3
ABBAC	3
ABBAABCA	3
ABCDCB	3
ABBAAB	3
AABBACDCD	3
AABCCBDDEE	3
ABAACDCDD	3
ABABCCC	3
ABCCA	2
ABCDEFD	2
ABCDED	2
ABCDD	2
ABBCCDDEE	2
AABCCDDB	2
AABCBDCD	2
ABBCDED	2
ABCDCE	2
AABBBCCC	2
AAAAAAAA	2
ABACDDEE	2
AABBCB	2
AABCDDB	2
AABBCCDEFFE	2
ABABCDCED	2
ABABCDCCD	2
AABCBDC	2
ABCCDDEE	2
ABCBDBEB	2
AABCBD	2
ABCBBC	2
AABBBB	2
ABCBDC	2
AABCCBDE	2
ABCADDEE	2
ABCDEFGF	2
AABCCBDEED	2
AABA	2
ABCDEA	2
ABCDEFE	2
AABCDDEE	2
ABBCCB	2
ABBAACCA	2
ABCAABCA	2
ABCBCA	2
ABCAACBA	2
AABCAAC	2
ABCADE	2
AABACB	2
ABCCDB	2
ABBACBBC	2
ABBCCBBA	2
ABCCBD	2
ABAABBA	2
ABCAABBA	2
ABCDCA	2
ABBACDECED	2
AABACDDC	2
ABBCDC	2
AABCCBDDB	2
AABBCCDDEFEF	2
ABABCDED	2
ABACDE	2
ABABABCC	2
ABCDEDF	2
ABABCCDEDE	2
ABABCCDEB	2
AABCBBC	2
ABCBCDD	2
ABCDABCD	2
ABAACCBBDDB	2
ABBCDE	2
ABAA	2
AABCDEFD	1
ABACBDCD	1
ABABBB	1
ABBBA	1
AABCCDDA	1
ABBCDCEDE	1
AABBCDC	1
ABCDAB	1
ABBCCD	1
ABCCBC	1
ABABCCDEED	1
ABABCDDEE	1
ABBCADCD	1
ABACCB	1
AABCBCDEFEFGDGC	1
ABCDEFFG	1
ABCBACDDEFEFE	1
ABCDCDABEEBFFGG	1
AABCBDDEFEGC	1
ABACDCEEFF	1
ABCBDED	1
ABCADDEEF	1
ABABCCA	1
AABBCDDCEEFFC	1
ABABACCDDEFEF	1
AABCCDDEFGH	1
ABCBB	1
ABABCDCDE	1
ABCACDC	1
ABCDBEFC	1
AABACC	1
ABBACD	1
AABCCDEE	1
AABCCBDDBE	1
ABCADDEA	1
AABBCBDCEFGF	1
ABCCDEFGG	1
ABCCC	1
ABCDDBEEFF	1
AABCDEFDF	1
ABBCD	1
ABAACCDEDDCC	1
AABBCDDCB	1
ABABCCDDC	1
ABACDEDDE	1
AABCBDE	1
AABCBDEFGH	1
ABCBDEDE	1
ABCDAAB	1
ABABCB	1
ABABCCCDD	1
ABCBCDDEE	1
ABCCDEED	1
ABACAADB	1
ABCDCDEEFFG	1
AABCDEDC	1
ABACADA	1
ABCBDEDA	1
ABCBDDEEFF	1
AABBACD	1
AABAB	1
AABACCCCCC	1
ABABCDEC	1
ABCDCC	1
ABBCDEECD	1
ABCDEFGB	1
AABBBBCC	1
AAABCCB	1
AABCDEFF	1
AABBCCCC	1
AABBBCCB	1
ABCCDDEEFF	1
AABCCBDEDE	1
AABCDDEEFFGG	1
ABBACCDDEE	1
ABCABCDEED	1
AABCBCDE	1
AABBCDDCEFEF	1
ABCDEDE	1
ABCADB	1
ABCDBEFGE	1
ABCDEFDGHDJKD	1
ABCDEFGE	1
ABCDE	1
ABBCDEFD	1
AABCDDEEFF	1
AABBCDEEFGHJ	1
ABCCAA	1
AABCCDBD	1
AABBCDEEC	1
AABCBCDEE	1
ABBCDDC	1
ABCDEFFDE	1
ABBABC	1
ABACBBDDEED	1
ABABCDCE	1
ABCDEEF	1
ABCBDEFF	1
ABCCDEDE	1
AABCCBDEEF	1
ABCBDDEEFFGG	1
ABBCDDCEE	1
AABBCCDDEFFE	1
AABBCDEEFF	1
ABCCDDEFF	1
ABBCDEEFFGHH	1
ABCBDCD	1
AABCAD	1
AABCCDEFG	1
ABACCDDEE	1
AABCDEFFE	1
ABABACBCDD	1
ABACDEDEDD	1
ABABCDCDEE	1
ABABCDEDFF	1
ABBCCDEDE	1
ABBAABBAACAACA	1
AABBCAB	1
ABBAABBAAAC	1
AABCDDCCDDC	1
ABCCBAC	1
ABCDAC	1
ABACBBC	1
ABBAABBC	1
AABBAAB	1
ABAABA	1
ABCAAB	1
ABCCBBCCD	1
ABBBAC	1
ABCAACCD	1
ABCAADDA	1
ABBACBBD	1
ABCCDA	1
ABCBDEFG	1
AABCBCDED	1
AABCCDEEF	1
ABCCDAD	1
ABCACBC	1
ABACACDD	1
AABBCDCDEE	1
ABCCAAB	1
AABBCBC	1
ABCABCDEDE	1
ABACDCE	1
ABBACDD	1
ABBACDCDEAEA	1
ABABBCDCEECD	1
AABBCDDCE	1
AABCBBDD	1
AABCBCDDEFFGEG	1
ABABBCC	1
AABCDCEEFFGG	1
ABBCACDEC	1
AABCBDEFEFGH	1
AABCBDEE	1
AABCCABDD	1
ABCDBE	1
ABBACDCED	1
ABCDBEE	1
ABCDDCEE	1
ABCCD	1
ABACCDEED	1
ABBAAC	1
AABCBDECDE	1
ABCBCB	1
ABCCDE	1
ABABB	1
ABAACDCED	1
ABAACACAA	1
ABABCBDD	1
AABCCBDC	1
AABCBCDDB	1
ABBACCDE	1
AABCCBDEDFGGFE	1
AABCDEFE	1
ABCDDEC	1
ABCDEFGG	1
AABCCBDDEFFG	1
AAABCBC	1
ABCBADCD	1
ABACBDDC	1
ABABCCB	1
ABCCBAB	1
AABCDCEE	1
ABCDA	1
ABABCDEEB	1
ABCBDDEEB	1
ABACDEC	1
ABABCDCEED	1
AABBCDCEDE	1
AABBCCDEFE	1
AABBCDA	1
AABCBCDEDE	1
ABBCDDE	1
ABCDCDEDEFGGF	1
ABCADDA	1
ABBACCB	1
ABBACDA	1
AABCDEDFFE	1
AABCBCD	1
AABCDEE	1
ABBAACCDEEF	1
AABCDEFGHFHJKJLL	1
AABCCCBDD	1
AABBCCDEDE	1
ABBACDCDEE	1
ABACCBDDB	1
ABBCDEFC	1
ABBCDEEC	1
ABBCDEEF	1
ABACCBDD	1
ABBACCDEEFFDGHH	1
AABCDEDEFF	1
AABCADDEE	1
ABCDDEFFE	1
AABCDCE	1
AABBCCB	1
AABBCDE	1
ABCADDBEE	1
ABCCBADE	1
ABCADEDE	1
ABCBDEDEFGFG	1
AABBCDCEFFGGDE	1
ABABACAC	1
AABCCBDDE	1
ABCBDDCEFFE	1
ABBAB	1
ABACBDEEFGGFHH	1
AABBCCDEFDFE	1
AABBCDCDEFFE	1
AABCDCBDEFEGGF	1
ABCDEFGH	1
ABCDDEEFFGG	1
ABCCDEFD	1
AABCBCBC	1
AABCBCDC	1
AABCBDBE	1
AABBACDDC	1
ABBCDD	1
AABCCDDC	1
ABBCACDD	1
ABACDCDC	1
ABCCDBD	1
ABCDEEFF	1
AABBBCC	1
AAABBCDDEEF	1
ABABBCDCD	1
AABBCDCDEEF	1
AABBCAC	1
ABAACCBBDD	1
ABCBBDD	1
ABCBCDEEFGGC	1
ABABCDDEFFB	1
AABBAC	1
ABBACCDEEDFF	1
AABCDBD	1
ABACDDCEEC	1
ABABCCDEEF	1
ABCDEDBFGH	1
ABCDCEFC	1
ABACCD	1
AAABCDDDCB	1
ABACCDE	1
AABCCDDD	1
AABBBC	1
AAABBCC	1
ABCCDEFG	1
AABAAB	1
AABBCDEFFG	1
AABCCDEEC	1
ABBACCDEDE	1
ABACDEFGCHJHJ	1
ABABCDDEEF	1
AABACBDEFD	1
AABCBCC	1
AABBCCDEE	1
ABCCDEE	1
ABCCDDEEFFC	1
ABCDDEE	1
ABABCDD	1
ABCDCDEEFFGG	1
ABCBDACA	1
ABCDCCEDC	1
AABBCDBEFGB	1
ABACCDD	1
ABABACDCEFGFH	1
ABABCCBD	1
AABCDDCCEED	1
AABCDEDE	1
ABCBAB	1
ABCACA	1
AABABBCBDDEC	1
AABACD	1
AABBCCDDE	1
AABBCCDEFGGE	1
ABCBDE	1
AABBACCDD	1
ABBCCDED	1
ABCDEFGHG	1
ABCDCEA	1
ABCDBEC	1
ABAAC	1
ABABCDEDC	1
